abbiegen	turn off
angeklicken	clicked on
angenehm	pleasant
angeschnallt	Buckled up
angestellter	Employed
angst	Anxiety
ängstlich	Anxious
anhaben	to have on
anhalten	stop
anklicken	click on
ankommen	to arrive
ankreuzen	cross out
ankündigen	announce
ankunft	Arrival
anlage	Installation
anlassen	to start with
anleitung	Guide
anmeldefrist	Registration deadline
anmelden	register
anmeldenmuss	Must register
anmeldung	Registration
anna	Anna
annehmen	to accept
annonce	announcement
annst	instead
anprobieren	Try on
anrede	Address
anruf	call
anrufbeantworter	Answering machine
anrufen	to call
ansag	request
ansage	announcement
anschaffen	to acquire, to get hold of
anschließen	to connect or join
anschluss	Annexation
anschnallen	Buckle up
ansehen	to see
ansprechen	to address
anspruch	claim
anst	on
anstellen	to appoint
anstreng	tiring
anstrengen	exert effort
anstrengend	tiring
antrag	Application
antwort	answer
antwortbog	Answer book
antworten	to answer
anwalt	Lawyer
anwältin	Female lawyer or attorney
anwaltsprechen	to speak as a lawyer
anwenden	to apply
anwesend	Present
anzahl	Number
anzeige	Advertisement
anzeigen	advertise, report, notify
anziehen	to put on, to wear
anzug	Suit
anzuschnallen	to buckle on
apartment	Flat
apfel	Apple
äpfel	Apples
apfelkuche	Apple cake
apfelsaft	Apple juice
apotheke	Pharmacy
apparat	Apparatus
appetit	appetite
aprikose	Apricot
april	April
arabella	Arabella
arbeit	work
arbeiten	to work
arbeiter	worker
arbeiterin	worker (female) or female worker
arbeitestn	work
arbeitnehmer	Employee
arbeits	work
arbeitsamt	Job Centre or Employment Office
arbeitsbedingung	Working condition
arbeitserlaubnis	Work permit
arbeitskollege	Work colleague
arbeitslos	unemployed
arbeitslosigkeit	Unemployment
arbeitsmarkt	labour market
arbeitsplatz	workplace
arbeitsstelle	Workplace or Workstation
arbeitstag	Working day
arbeitstechnik	Work technique or Work technology
arbeitsverhältnis	Employment relationship
arbeitszeit	Working hours
architekt	Architect
architektin	Architect
ärger	anger
ärgerlich	Frustrating
ärgern	annoy
arte	Art
artikel	Article
arzt	doctor
ärztin	Female doctor or physician
arztpraxis	Doctor's surgery or medical practice
arzu	aroma
asche	ashes
asyl	asylum
atem	breath
atlantis	Atlantis
atmen	to breathe
auch	also
auchsozial	also social
aufenthalt	stay, residence, sojourn
aufenthaltsraum	Reception area
auffallen	to stand out
auffordern	to summon, to invite, to request
aufforderung	Invitation
aufführen	to perform
aufgabe	Task
aufgeben	Give up
aufgeladen	Charged
aufgepasst	Be careful
aufgeräumt	tidied up
aufgeregt	excited
aufgeschrieben	Written down
aufhalten	to stop or halt
aufhängen	hang up
aufheben	to lift up, to raise, to suspend, to put away, to store, to preserve
aufhören	stop
aufladen	to charge
auflösen	dissolve
aufmachen	to open
aufmerksam	attentive
aufnahme	Admission
aufnehmen	to take up, to pick up, to record
aufpassen	be careful
aufräumen	Clear out, clean up, tidy up
aufregen	excite
aufregend	exciting
aufschreiben	to write down
aufschreibenhabe	I have taken notes
aufstehen	get up
auftrag	Assignment, order, commission
auftreten	to appear, to emerge, to come out
auftritt	Appearance, performance
aufwachen	wake up
aufwärts	upwards
aufzu	to be put up
aufzug	Elevator
auge	eye
augenblick	Moment
august	August
ausbilden	train
ausbildung	Training or education
auschina	Auchina
ausdruck	expression
ausdrucken	print out
auseinander	apart
ausfahrt	Exit
ausfallen	to fail
ausflug	outing
ausfüllen	fill out
ausgabe	output
ausgang	exit
ausgeben	to spend, to issue, to publish
ausgedruckt	expressed
ausgefüllt	Filled out
ausgehen	to go out
ausgemessen	overestimated
ausgeruht	rested
ausgeseh	seen out
ausgesehen	looked out
ausgezogen	Moved out
aushilfe	Temporary worker or relief worker
auskunft	Information
ausland	abroad
auslandaufpassen	Overseas monitoring or Overseas surveillance
ausländer	Foreigner
ausländerin	Foreign woman or female foreigner
ausländerinnenlern	Foreign language learners
ausländisch	foreign
ausleihen	to lend out or to borrow
ausmachen	extinguish
ausnahme	exception
ausreichen	be sufficient
ausreichend	sufficient
ausrichten	align, arrange, schedule
ausruhen	rest
ausschlafen	sleep in
ausschließen	exclude
ausschließlich	exclusively
aussehen	to look like
außen	outside
außerdem	In addition
äußerlich	externally or outwardly
aussicht	View
aussprache	Pronunciation
aussprechen	to pronounce
aussteigen	to get off
ausstellen	to exhibit
ausstellung	Exhibition
aussuchen	select
auswahl	selection
auswählen	choose
ausweis	Identity card
auszeichnen	to distinguish, to mark out
ausziehen	to move out
auto	car
autobahn	motorway
autofabrik	Automobile factory
autofahren	driving a car
autofahrer	driver
automat	Automaton
automatisch	Automatically
automechaniker	Automotive mechanic
automobilmesse	Motor show or car show
autor	author
autorin	Author
autotür	car door
aydin	bright
baby	infant
back	back
backen	bake
bäcken	backbone
bäcker	Baker
bäckerei	Bakery
backten	to back up
baden	bath
badewanne	Bathtub
badezimmer	bathroom
bahn	track
bahnhof	station
bahnhofsrestaurant	Station restaurant or Railway station restaurant
bahnsteig	platform
bahnsteigdi	Platform track
bahnsteige	platform
bald	soon
balkon	balcony
ball	ball
ballett	ballet
banane	Banana
bancomat	ATM (Automated Teller Machine)
bank	bank
bankkonto	bank account
bankleitzahl	Bank account number
bankomat	Automated Teller Machine (ATM)
bankomatkarte	ATM card
bankomatkarter	ATM card
bargeld	Cash
bart	beard
basketball	Basketball
bast	base
bastelen	to dawdle
bastelmaterialie	Craft materials
basteln	Knit or craft
batterie	Battery
bauch	stomach
bauen	build
bauer	farmer
bauernhof	Farmstead or farmhouse
bauingenieur	Civil engineer
baum	tree
baustelle	Construction site
baustellenbereich	Construction site area
baustil	Building style
bayern	Bavaria
beachten	take note of, pay attention to
beamter	Civil servant
beamtin	beamstress
beant	beetle
beantragen	to request or apply for something
beantworten	to answer
bearbeiten	edit
bedanken	to thank
bedarf	requires
bedeuten	to mean
bedeutung	meaning
bedienen	serve, attend to, operate
bedienungsanleitung	User manual
bedingung	Condition
beeilen	hurry up
beeinflussen	Influence
beenden	to end
befinden	to be found, to find
befreien	to liberate
befriedigend	Satisfactory
begegnen	meet
begeistern	to delight, to thrill, to captivate
begeistert	Enthusiastic
beginn	begin
beginnen	to start
begleiten	accompany
begrenzen	Limit
begrenztbegründen	Limited to justify
begründen	to justify
begründung	justification
begrüßen	welcome
behalten	retain
behandeln	treat
behandlung	Treatment
behaupten	claim, assert
behindern	Impede
behindertbehindern	Disabled
behörde	Authority
beid	both
beide	both
bein	leg
beinahe	almost
beispiel	example
beispielsweise	For example
beißen	bite
beitrag	contribution
bekannt	well-known
bekannte	known
bekennen	confess
bekommen	get
bekommenbediene	Received control or received command
bekommendien	Receiving services
bekommsen	I couldn't find a match for "bekommsen" in my database. It's possible that it's a misspelling or not a valid German word.
beleg	label
beleidigen	to insult
belieben	prefer
bemerken	notice
bemühen	strive, endeavour, make an effort
benötigen	require
benutzen	use
benzin	gasoline
benzinbeobachten	Fuel monitoring
benzinpreis	Fuel price
beobach	observer
beobachten	observe
bequem	comfortable
beraten	consult
beratung	Consultation
berechnen	calculate
bereich	Area
bereit	Ready
bereitbereits	Ready-willingly
bereiten	prepare
bereits	already
berg	mountain
berger	Mountaineer
bericht	report
berichten	report
berlin	Berlin
beruf	profession
berufe	Professions
beruflich	professionally
berufstätig	Occupied with work or employed.
beruhigen	calm down
berühmt	Famous
berühmtedenkmäler	Famous monuments
berühren	touch
beschädigen	to damage or harm
beschäftigen	occupy
beschäftigung	occupation
bescheid	news, tidings
beschließen	decide
beschloss	decided
beschränken	limit
beschränkung	Restriction
beschreiben	describe
beschreibung	description
beschweren	Complain
beschwertd	Complained
besessen	Obsessed
besetzen	occupy
besichtigen	visit
besichtigtbesitzen	visited possess
besitzen	to possess
besonder	particular
besonderer	particular
besonders	particularly
besorgen	to take care of, to attend to, to look after
besorgstn	worried about you
besorgt	Concerned
besprach	discussed
besprechen	discuss
besprechung	Discussion or Meeting
besserer	Better one
besserung	Improvement
bestätigen	confirm
bestätigung	Confirmation
bestehen	to consist of, to comprise, to include
bestellen	to order
bestimmen	determine
bestimmt	Certain
bestrafen	punish
besuch	visit
besuchen	visit
besuchsen	visited
beteiligen	to involve, to participate
betrag	amount
betragen	amount to
betreten	Enter
betreuen	to care for, to look after
betreuer	Counselor, Adviser, Guardian
betreuerin	Counselor, Caregiver, or Female Guardian (context-dependent)
betreuung	Care, supervision, or support (depending on context)
betrieb	operation
betriebsrat	Works Council
betriebsrätin	Shop steward
betriebssystem	Operating system
betrog	betrayed
betrüg	deceit
betrügen	Deceive
betrunken	Drunk
bett	bed
bevölkerung	population
bevor	before
bevorbeweg	Pre-excitation
bewegen	move
bewegung	Movement
beweis	proof
beweisen	prove
bewerben	apply for a job
bewerbung	Application
bewirbtsich	Applies for oneself
bewohner	inhabitant
bewohnerin	Inhabitant, resident, female inhabitant
bewölken	cloud over
bewölkt	Cloudy
beworben	advertised
bewunderen	to admire
bezahlen	to pay
bezahlung	payment
beziehung	Relationship
bibliothek	library
biegen	bend
bier	beer
biern	beer
bieten	offer
bild	image
bildschirm	screen
billet	ticket
billett	Ticket
billig	Cheap
bioabfall	Biodegradable waste
biogemüse	Organic vegetables
biologie	Biology
biologische	biological
birne	Pomegranate
bisher	So far
biss	bite
bissch	biscuit
bisschen	a little bit
bist	are you
bitt	please
bitte	Please
bitten	to ask for something or to beg someone
bittepünktlich	Punctually, on time
bitter	bitter
björn	bear
blass	pale
blatt	leaf
blau	blue
bleiben	remain
bleistift	Pencil
blick	glance
blind	blind
blitz	lightning
blitzen	flash
blond	Blonde
bloß	merely, simply
blühen	bloom
blühte	bloomed
blume	flower
blumengieße	Flower vase
bluse	Blouse
blut	blood
blutder	blood-red
bluten	to bloom
boden	ground
bodensee	Lake Constance
bogen	arc, bow
bohn	bean
bohne	bean
boot	foot
böse	Evil
botschaft	Embassy
brandner	Brandner
brannen	to burn
brasilien	Brazil
brat	brother
braten	roast
brauchen	need
brauchsen	Needed
brauchst	need
brechen	break
breit	broad
breite	broad
bremse	brake
bremsen	to brake
bremste	braked
brennen	to burn
brief	letter
briefkasten	letterbox
briefmark	stamp
briefmarke	Stamp or postage stamp
brieft	letter
brieftasche	Wallet or purse
briefträger	Messenger
briefträgerin	Female courier or female messenger
briefumschlag	Envelope
brille	glasses
bring	bring
bringen	bring
bringst	bringest
broschüre	brochure
brot	bread
brötchen	Bun
brötli	little bread roll
brötlisende	browning
brücke	bridge
bruder	brother
brunn	spring
brust	breast
bube	boy, lad, youth, rascal
buch	book
buchdruck	book printing
buchen	book
buchhandlung	Bookshop or bookstore
büchse	Shell
buchsta	letter
buchstabe	letter
buchstabieren	spell out
buffet	sideboard
bühne	stage
bundeskanzlerin	Federal Chancellor (female)
bunt	colorful
buntdie	Multicoloured
burg	castle
bürger	citizen
bürgerin	Citizen (female) or Woman
büro	Office
bürowarten	Office hours
bürste	brush
busbahnhof	Bus station or Bus terminal
busfahrer	Bus driver
butter	butter
café	coffeehouse or cafe
cafeteria	canteen
campingplatz	Campsite
campingurlaub	Holiday camp or camping holiday
cent	cent
chance	Opportunity
chef	Head Chef or Chef
chefin	Boss, manager, female boss
chhauer	Chauler (a rare or obsolete word)
chic	stylish
chick	young chicken
china	China (the country) or China (porcelain)
chinesisch	Chinese
chipkarte	Smart card
christine	Christine
claudia	Claudia
coiffeur	Hairdresser
coiffeuse	Hairdresser
cola	Cola
computer	computer
computerfachfrau	Computer professional (female) or Computer specialist (female)
computerherunterfahr	computer shutdown
computerkurs	Computer course
computerprogramm	Computer program
computerraum	Computer room
computerspezialist	Computer specialist
conchi	Shellfish
couch	sofa
cousin	Cousin
cousine	cousin
couvert	Covered or covered up
crem	burned
creme	cream
dabei	there, at that time, meanwhile
dach	roof
dafrag	therefore
dafür	for that
dagegen	against
daher	therefore
dahin	thither
dahinbuchstabier	spelling out in that direction
damals	then
dame	lady
damit	with that
danach	after that
daneben	beside
danebendank	Thanks anyway
dank	thanks
dankbar	Grateful
danke	thank you
danken	thank
dann	then
dannkomm	thank you come
dannwirst	then you will
dapfel	Apple
daran	at it, on it
darauf	thereon, thereupon
darfstn	darfen (note: "darfstn" is likely a typo and should be "darfen")
darmstadt	Darmstadtium
darstellen	represent
darstellung	Representation
darüber	about that
darum	therefore
dasbüro	The office
dasist	It is
dass	that
dasselbe	the same
datei	file
datum	date
dauer	duration
dauern	to last
dauernd	permanently
davon	of it, from it
dazu	to that
dbistro	Diner
decke	ceiling
dein	your
deine	your
deiner	of yours
dekorieren	to decorate
demblitz	Lightning-fast
dembus	Dumbbell
demfleisch	Meat (as in "the meat")
demkrankenhaus	Demerol Hospital or Demerol Clinic
demmarkt	the market
demurlaub	staycation
denalt	dental
denbetrag	Amount
denk	think
denken	think
denkmal	monument
denn	because
dergroßvater	great-great-grandfather
dermedizin	medicine
dern	there
derselbe	the same
deshalb	therefore
dessert	sweet course
desto	the more
deswegen	therefore
deswegendamal	at that time
detail	detail
deutlich	clearly
deutsch	German
deutsche	German
deutschkenntnisse	German language skills
deutschkurs	German course
deutschland	Germany
deutschlern	Learning German
dialekt	dialect
dialog	conversation
diät	diet
dich	you
dicht	dense
dick	thick
dieb	thief
diebatterie	Battery (as in a collection of batteries)
diebriefträgerin	Mail carrier, female mail carrier
diefirma	the company
diehabe	I have
diekinder	The children
dienachricht	Service announcement
dienen	serve
dienst	service
dienstag	Tuesday
dieselbeschule	Diesel engine school
dieser	this
diesmal	this time
dietasche	diploma case
digital	digital
digitaluhr	Digital clock
ding	thing
diplom	diplomate
direkt	Directly
direktor	Director
direktorin	Director
direktorsprech	Director's speech
disko	Disco
diskothek	Nightclub or disco
diskussion	Discussion
diskutieren	discuss
distanz	distance
doch	However
doktor	Doctor
doktorin	Doctorate holder, female doctor
dokument	document
dollar	dollar
donau	Danube
donner	thunderstorm
donneren	to thunder
donnern	thunder
donnerstag	Thursday
donnerstags	Thursdays
doppel	double
doppelbett	Double bed
doppelklick	double-click
doppelt	double
doppelzimmer	Double room
dorf	village
dort	there
dorthin	there
dortmund	Dortmund
dose	dose
dran	on it
draußen	outside
dreck	filth
dreckdas	I'm not aware of a common German word "dreckdas". It's possible that it's a made-up or colloquial expression. If you provide more context or information about where you encountered this word, I may be able to help further.
dreh	turn
drehen	turn
drei	three
dreijährig	Three-year-old
dreimal	three times
dreizimmerwohnung	Three-bedroom apartment or Three-room flat
drin	inside
dringend	Urgent
drinnen	inside
dritter	third
droge	dry
drogerie	Convenience store or pharmacy
drüben	over there
druck	pressure
drück	press
drucken	print
drücken	press
drucker	printer
dubeim	Dubaim
dumm	Stupid
dummes	Stupid
dung	Manure
dunkel	dark
dunkelblau	Dark blue
dunkeln	to darken or become dark
dünn	Thin
durcheinander	in disarray, in a state of confusion
durchsage	Announcement
durchschnitt	average
durchschnittlich	average
dürfen	may
durst	thirst
durstig	Thirsty
dusche	shower
duschen	shower
duscht	showered
duschte	showered
duwied	Dewy
duzen	to familiarize with someone
duzieren	to dilute
duzt	duzts
eben	just
ebenfalls	also
ebenfallsebensodrehen	At the same time turn around
ebenso	also
ecard	Electronic greeting card
echen	to itch
echt	genuine
eckart	Eckhart
eckarte	Corner card
ecke	corner
eckig	angular
eden	Garden of Eden
ediese	These
egal	equal, same, indifferent
ehefrau	wife
ehemann	husband
ehepaar	Couple
eher	Rather
ehren	honour
ehrlich	Honest
eigen	own
eigentlich	Actually
eignen	to belong or be suitable for
eile	hurry
eilen	hurry
eilig	hurriedly, hastily
einatmen	breathe in
einbahnstraße	One-way street
einbrechen	to break in
einbrecher	Burglar
einbrecherin	Burglar
einbruch	Break-in
eindeutig	unambiguously
eindruck	Impression
einebackform	Muffin tin
einemusikerin	Female musician
einenschön	One beautiful one
einer	one
einerinsel	One Island
einerrunde	one round
einerseits	on one hand
einfach	Simple
einfahrt	Entrance
einfall	idea
einfallen	to fall in (idiomatic) or to drop by
einfluss	influence
einfügen	insert
einführen	Introduce, introduce into use, bring in
einführung	Introduction
eingang	Entrance
eingen	owned
eingenommenunser	Consumed by us
eingepacken	pack up
eingeschlafen	fallen asleep
eingezogendas	Withdrawn funds
eingezogensind	Withdrawn
einheitlich	uniformly
einig	united
einigen	some, certain
einiger	some
einkauf	shopping
einkaufen	to shop or go shopping
einkaufs	shopping
einkaufsliste	Shopping list
einkaufszentrum	Shopping center
einkommen	Income
einladen	to invite
einladung	Invitation
einmal	once
einnahme	Intake
einnehmen	to take
einpacken	to pack up
einparken	to park in a space and then leave the vehicle there
einrichten	set up, arrange, furnish
einrichtung	Installation
eins	one
einsam	Lonely
einschalten	switch on
einschließen	include
einschreiben	register
einsetzen	to set in motion
einsteigen	to board
einstellen	set up, adjust
eintragen	register
eintreten	to enter
eintritt	admission
eintrittskarte	Admission ticket
einverstanden	Agreed
einwohner	residents
einwohnerin	Resident, inhabitant (female)
einzahlen	to pay in
einzahlung	Deposit
einzel	single
einzelheit	Individuality
einzelkind	Only child
einzeln	separately
einzelzimmer	Single room
einzelzimmerdu	Single room
einziehen	move in
einzig	unique
eisenbahn	railway
elegant	Refined, sophisticated
elektrisch	electrically or electric
elektro	electric
elektrogerät	Electrical appliance
elektrogeschäft	Electrical shop or Electrical store
elektroherd	Electric stove or Electric cooker
elektroingenieur	Electrical engineer
elektronisch	electronically
eltern	parents
elternvertreter	Parent's Representative
email	email
emil	Emile
emilia	Emily
empfang	receipt
empfangen	Received
empfänger	receiver
empfehlen	recommend
empfehlung	Recommendation
ende	end
énde	end
enden	to come to an end
endgültig	Finally, definitively, ultimately
endlich	Finally
endspiel	Endgame
energie	Energy
engd	End
england	England
englisch	English
englischkurs	English course
enheim	Heim
enkel	grandchild
enkelin	granddaughter
entdecken	discover
entfernen	remove
entfernt	distant
entfernung	distance
entgegengekommen	come across us, come towards us
enthalten	contain
entlangentlassen	let go along with it
entlassen	dismissed
entlässen	release
entlassung	Dismissal
entscheiden	decide
entscheidung	Decision
entschließen	decide
entschloss	decided
entschluss	Decision
entschuldig	Sorry
entschuldigen	to apologize
entschuldigung	Apology
entsorgen	Dispose of, get rid of
entspannend	relaxing
entspannendentsteh	relaxation posture
entstehen	to arise, to occur, to come into being
enttäuschen	disappoint
enttäuschend	disappointing
enttäuschung	Disappointment
entweder	either
entwickeln	to develop
entwicklung	Development
enzo	Enzo
erdapfel	Quince
erdäpfel	Potato
erdbeergeschmack	earthquake taste
erde	earth
erdgeschoss	Ground floor
ereignen	to happen
ereignis	Event
erfahren	experienced
erfahrung	Experience
erfinden	invent
erfindung	Invention
erfolg	success
erfolgreich	Successful
erforderlich	Required
erfordern	require
erfüllen	to fulfill
ergänzen	to supplement or complement
ergebnis	result
ergeschoß	Shot up
erhalten	received
erhöhen	Increase
erhöhtentscheiden	Raised decision
erhöhung	Increase
erholen	to recover or to relax
erholung	Recovery
erinnern	remind
erinnerung	memory
erkäln	to prosecute
erkälten	cool down
erkältest	cooled
erkältet	infected
erkältung	Cold
erkennen	recognize
erklären	to explain
erklärung	Explanation
erkulturell	Culturally
erkundigen	inquire
erkundigtesich	Inquired about itself
erlauben	allow
erlaubnis	Permission
erleben	to experience
erlebnis	Experience
erledigen	to accomplish, to complete, to finish, to settle, to take care of
erleichteren	to ease
erleichtern	to alleviate
ermäßigung	Discount
ernähren	to nourish
ernährung	nutrition
ernst	serious
ernsthaft	Seriously
ernte	harvest
eröffnen	open
eröffnung	Opening
erreichen	to reach
ersatz	Substitute
erscheinen	appear
erschöpfen	exhaust
erschrak	was shocked
erschrecken	to frighten or terrify
erschricken	startle
erschrock	shocked
ersetzen	Replace
erst	first
erstdi	First time
erstellen	Create
erster	first
erwachsen	adult
erwachsene	Adults
erwarten	to expect
erweitern	expand
erzählen	to tell
erzählung	story
erziehen	to bring up, to rear, to educate
erziehung	education
erzog	brought up
erzogen	Brought up, raised
eshier	Here
esreparier	repair
essen	to eat
essensausgabe	Food distribution or Food dispensing
essensie	Essence
essenverpflegt	fed
essig	vinegar
esstisch	Dining table
etage	floor
eterin	Estrone
etwa	about, approximately, roughly
etwas	something
eubürgerinne	Female EU citizen
euch	you
euer	your
eurer	your
euro	Euro
europa	Europe
europäer	European
eventuell	Possibly
ewig	eternal
experte	Expert
export	export
exportabteilung	Export Department
extra	additional
extraextrem	Extremely extreme
extrem	extreme
fabrik	factory
fach	specialist
fachfrau	Expert
fachleute	Experts
fachmann	Expert
fähigkeit	Ability
fahr	drive
fahrbahn	trackway
fähre	ferry
fahren	to drive
fahrer	driver
fahrerin	driver (female)
fahrgeld	Fare money or passenger fare
fahrkarte	Ticket
fahrkartenautomat	Ticket vending machine
fahrkartenkontrolle	Ticket inspection or ticket control
fahrplan	timetable
fahrrad	bicycle
fahrradfahren	cycling
fahrschein	Ticket
fährst	drive
fahrstuhl	elevator
fahrt	journey
fahrtkoste	travel cost
fahrzeug	vehicle
fair	Fair
faktor	factor
fall	fall
fallen	fallen
fällen	to fall
fällig	Due
falls	if
fallsfalsch	falsehood
falsch	Incorrect
fami	family
familie	family
familienangehöriger	Family member
familienfeier	Family celebration or Family day
familienname	Surname
familienstand	Marital status
familientreffen	Family reunion
fangen	catch
fängst	catches
fantasie	imagination
fantastisch	fantastic
farbe	colour
farbig	Coloured
faschierte	smoked
fasching	Carnival
fasnacht	Carnival
fasnachtsumzug	Carnival procession
fassen	to grasp
fast	almost
fastfaul	Faul (lazy)
faul	lazy
faulenzen	loafing around
fauteuil	armchair
fauteuilder	Faultfinder
februar	February
fehlen	be missing
fehlend	absent
fehler	error
feier	celebration
feierabend	End of work hours
feiern	celebrate
feiertag	Public holiday
feiertage	Public holidays
feld	field
fenster	window
fentlicht	Published
ferien	holidays
ferienapartment	Holiday apartment
ferienwohnung	Holiday apartment or Holiday flat
fern	distant
fernbedienung	Remote control
ferngesehen	watched on television
fernsehapparat	Television set
fernsehen	watching television
fernseher	Television set or TV
fernsehkanal	Television channel
fernzusehen	to watch on TV
fertig	finished
fertigzumachen	to do or finish
fest	firm, fixed, stable, secure
festhalten	hold on to
festlegen	determine, fix, set
festnehmen	arrest
festnetztelefon	landline telephone
festplatt	hard drive
festplatte	Hard drive
festsetzen	fixate
feststehen	to be fixed or settled
feststellen	determine
fett	fat
fettarm	low-fat
fettman	Fat man
feucht	moist
feuer	fire
feueralarm	Fire alarm
feuerwehr	Fire brigade
feuerwehrmann	Firefighter
feuerzeug	Lighter
fieber	Fever
fieberdie	Feverfew
figur	figure
film	movie
finanziell	financially
finanzieren	finance
findedas	Foundations
finden	find
findest	finds
fing	began
finger	finger
fingernägel	Fingernails
firma	Company
firmeneröffnung	Company launch or company opening
firmenflach	Company flat
fisch	fish
fischer	fisherman
fitnessstudio	Gym or Fitness Studio
flach	flat
fläche	Area
flasche	bottle
fleck	spot
fleis	flesh
fleisch	Meat
fleischder	Meat derivative
fleischhauer	Butcher
fleischhauerin	Butcher's wife or female butcher
fleißig	Industrious
fleißigdi	Hardworking
flexibel	Flexible
fliegen	to fly
fliehen	flee
fließen	flow
fließend	Continuous
fließendem	Flowing
flohmarkt	Flea market
floss	thread
flöte	flute
flucht	flight
flug	flight
flughafen	airport
flugzeug	aircraft
flur	floor
fluss	river
flüssigkeit	liquid
folge	follow
folgen	to follow
folgend	Following
fordern	demand
fördern	promote
forderung	Demand
förderung	Promotion
foren	forums
form	shape
formular	form
forscher	researcher
forschung	Research
fort	stronghold
fortbildung	Professional development
fortschritt	progress
fortsetzen	continue
fortsetzung	Continuation
forum	Online discussion site or a public square where people can discuss and share ideas.
foto	photo
fotoapparat	camera
fotograf	photographer
fotografie	Photography
fotografieren	to photograph or take a photograph
fotografin	Photographer (female) or Female photographer
frag	ask
frage	question
fragen	to ask
fragsen	to break or shatter (something) into small pieces
francesco	Francis
franco	free
frankfurt	Frankfurt
frankreich	France
fraß	ate
frau	woman
frech	Impudent
frechsein	Impertinence
frei	free
freiburg	Freiburg in Breisgau
freie	free
freihalten	reserve
freiheit	Freedom
freitag	Friday
freitags	Fridays
freiwillig	Voluntarily
freizeit	leisure time
freizeitaktivität	Leisure activity
freizeitflexibel	Leisurely flexible
fremd	Strange, foreign, alien
fremdsprache	Foreign language
fressen	to eat
fressenbekommen	to be fed
freude	Joy
freuen	to be pleased or delighted
freund	friend
freundin	Girlfriend
freundlich	Friendly
freundschaft	Friendship
friede	peace
frieden	peace
frieren	to freeze
frisch	fresh
friseur	Hairdresser
friseurin	Hairdresser (female)
friseurwir	Hairdresser's assistant
frissen	to freeze
frist	deadline
frisur	hairstyle
frit	Fried
froh	Happy
frohes	Festive
fröhlich	Cheerful
frucht	fruit
früh	early
frühdienst	Early shift
frühenmorg	early morning
früher	Earlier
frühling	spring
frühstück	breakfast
frühstücken	breakfast
frühstückt	breakfasted
fügen	to join or to add
fühl	feel
fühlen	to feel
führen	to lead
führerausweis	Driver's license
führerschein	driver's license
führung	Leadership
füllen	fill
fundbüro	Investment office or Investment Bureau
funden	find
fünf	five
fünfter	fifth
fünfzehn	Fifteen
fünfzig	Fifty
funktion	function
funktionieren	to function
furchtbar	terrible, frightful, appalling
fürchten	to fear
fürfamilie	Multigenerational family
fürfreiwillig	Voluntarily
fürmathematik	For mathematics
fußball	Football
fußballmannschaft	Football team
fußballspiel	Football match
fußballspiele	Football games
fußgänger	pedestrian
fußgängerin	Pedestrian
fußgängerzone	Pedestrian zone
fütteren	to feed
füttern	to feed
gabel	Fork
galerie	Gallery
gang	path
gänge	walks
ganz	completely
ganzlangsam	very slowly
garage	carriage house
garantie	Guarantee
garantieren	guarantee
